CODGEO;indicator;category;startyear;endyear;NAISD16
01346;Naissances;Naissances domiciliées en 2016;2016;;5
01347;Naissances;Naissances domiciliées en 2016;2016;;22
01348;Naissances;Naissances domiciliées en 2016;2016;;21
01349;Naissances;Naissances domiciliées en 2016;2016;;4
01350;Naissances;Naissances domiciliées en 2016;2016;;23
01351;Naissances;Naissances domiciliées en 2016;2016;;17
01352;Naissances;Naissances domiciliées en 2016;2016;;6
01353;Naissances;Naissances domiciliées en 2016;2016;;14
01354;Naissances;Naissances domiciliées en 2016;2016;;129
01355;Naissances;Naissances domiciliées en 2016;2016;;8
01356;Naissances;Naissances domiciliées en 2016;2016;;2
01357;Naissances;Naissances domiciliées en 2016;2016;;11
01358;Naissances;Naissances domiciliées en 2016;2016;;4
01359;Naissances;Naissances domiciliées en 2016;2016;;1
01360;Naissances;Naissances domiciliées en 2016;2016;;17
01361;Naissances;Naissances domiciliées en 2016;2016;;11
01362;Naissances;Naissances domiciliées en 2016;2016;;11
01363;Naissances;Naissances domiciliées en 2016;2016;;19
01364;Naissances;Naissances domiciliées en 2016;2016;;10
01365;Naissances;Naissances domiciliées en 2016;2016;;7
01366;Naissances;Naissances domiciliées en 2016;2016;;17
01367;Naissances;Naissances domiciliées en 2016;2016;;3
01368;Naissances;Naissances domiciliées en 2016;2016;;7
01369;Naissances;Naissances domiciliées en 2016;2016;;12
01370;Naissances;Naissances domiciliées en 2016;2016;;13
01371;Naissances;Naissances domiciliées en 2016;2016;;11
01372;Naissances;Naissances domiciliées en 2016;2016;;5
01373;Naissances;Naissances domiciliées en 2016;2016;;10
01374;Naissances;Naissances domiciliées en 2016;2016;;25
01375;Naissances;Naissances domiciliées en 2016;2016;;10
01376;Naissances;Naissances domiciliées en 2016;2016;;46
01378;Naissances;Naissances domiciliées en 2016;2016;;28
01379;Naissances;Naissances domiciliées en 2016;2016;;8
01380;Naissances;Naissances domiciliées en 2016;2016;;7
01381;Naissances;Naissances domiciliées en 2016;2016;;11
01382;Naissances;Naissances domiciliées en 2016;2016;;0
01383;Naissances;Naissances domiciliées en 2016;2016;;27
01384;Naissances;Naissances domiciliées en 2016;2016;;31
01385;Naissances;Naissances domiciliées en 2016;2016;;10
01386;Naissances;Naissances domiciliées en 2016;2016;;7
01387;Naissances;Naissances domiciliées en 2016;2016;;7
01388;Naissances;Naissances domiciliées en 2016;2016;;10
01389;Naissances;Naissances domiciliées en 2016;2016;;22
01390;Naissances;Naissances domiciliées en 2016;2016;;17
01391;Naissances;Naissances domiciliées en 2016;2016;;1
01392;Naissances;Naissances domiciliées en 2016;2016;;4
01393;Naissances;Naissances domiciliées en 2016;2016;;5
01396;Naissances;Naissances domiciliées en 2016;2016;;11
01397;Naissances;Naissances domiciliées en 2016;2016;;7
01398;Naissances;Naissances domiciliées en 2016;2016;;21
01399;Naissances;Naissances domiciliées en 2016;2016;;18
01400;Naissances;Naissances domiciliées en 2016;2016;;1
01401;Naissances;Naissances domiciliées en 2016;2016;;19
01402;Naissances;Naissances domiciliées en 2016;2016;;4
01403;Naissances;Naissances domiciliées en 2016;2016;;10
01404;Naissances;Naissances domiciliées en 2016;2016;;0
01405;Naissances;Naissances domiciliées en 2016;2016;;20
01406;Naissances;Naissances domiciliées en 2016;2016;;3
01407;Naissances;Naissances domiciliées en 2016;2016;;11
01408;Naissances;Naissances domiciliées en 2016;2016;;4
01410;Naissances;Naissances domiciliées en 2016;2016;;2
01411;Naissances;Naissances domiciliées en 2016;2016;;3
01412;Naissances;Naissances domiciliées en 2016;2016;;3
01415;Naissances;Naissances domiciliées en 2016;2016;;7
01416;Naissances;Naissances domiciliées en 2016;2016;;9
01418;Naissances;Naissances domiciliées en 2016;2016;;7
01419;Naissances;Naissances domiciliées en 2016;2016;;50
01420;Naissances;Naissances domiciliées en 2016;2016;;15
01421;Naissances;Naissances domiciliées en 2016;2016;;6
01422;Naissances;Naissances domiciliées en 2016;2016;;17
01423;Naissances;Naissances domiciliées en 2016;2016;;17
01424;Naissances;Naissances domiciliées en 2016;2016;;14
01425;Naissances;Naissances domiciliées en 2016;2016;;2
01426;Naissances;Naissances domiciliées en 2016;2016;;26
01427;Naissances;Naissances domiciliées en 2016;2016;;99
01428;Naissances;Naissances domiciliées en 2016;2016;;1
01429;Naissances;Naissances domiciliées en 2016;2016;;4
01430;Naissances;Naissances domiciliées en 2016;2016;;8
01431;Naissances;Naissances domiciliées en 2016;2016;;13
01432;Naissances;Naissances domiciliées en 2016;2016;;6
01433;Naissances;Naissances domiciliées en 2016;2016;;1
01434;Naissances;Naissances domiciliées en 2016;2016;;5
01435;Naissances;Naissances domiciliées en 2016;2016;;14
01436;Naissances;Naissances domiciliées en 2016;2016;;7
01437;Naissances;Naissances domiciliées en 2016;2016;;2
01439;Naissances;Naissances domiciliées en 2016;2016;;2
01441;Naissances;Naissances domiciliées en 2016;2016;;12
01443;Naissances;Naissances domiciliées en 2016;2016;;60
01444;Naissances;Naissances domiciliées en 2016;2016;;13
01445;Naissances;Naissances domiciliées en 2016;2016;;8
01446;Naissances;Naissances domiciliées en 2016;2016;;20
01447;Naissances;Naissances domiciliées en 2016;2016;;16
01448;Naissances;Naissances domiciliées en 2016;2016;;7
01449;Naissances;Naissances domiciliées en 2016;2016;;5
01450;Naissances;Naissances domiciliées en 2016;2016;;45
01451;Naissances;Naissances domiciliées en 2016;2016;;82
01452;Naissances;Naissances domiciliées en 2016;2016;;12
01453;Naissances;Naissances domiciliées en 2016;2016;;8
01454;Naissances;Naissances domiciliées en 2016;2016;;11
01456;Naissances;Naissances domiciliées en 2016;2016;;1
01457;Naissances;Naissances domiciliées en 2016;2016;;28
02001;Naissances;Naissances domiciliées en 2016;2016;;11
02002;Naissances;Naissances domiciliées en 2016;2016;;7
02003;Naissances;Naissances domiciliées en 2016;2016;;5
02004;Naissances;Naissances domiciliées en 2016;2016;;0
02005;Naissances;Naissances domiciliées en 2016;2016;;3
02006;Naissances;Naissances domiciliées en 2016;2016;;2
02007;Naissances;Naissances domiciliées en 2016;2016;;1
02008;Naissances;Naissances domiciliées en 2016;2016;;7
02009;Naissances;Naissances domiciliées en 2016;2016;;9
02010;Naissances;Naissances domiciliées en 2016;2016;;1
02011;Naissances;Naissances domiciliées en 2016;2016;;17
02012;Naissances;Naissances domiciliées en 2016;2016;;2
02013;Naissances;Naissances domiciliées en 2016;2016;;1
02014;Naissances;Naissances domiciliées en 2016;2016;;6
02015;Naissances;Naissances domiciliées en 2016;2016;;1
02016;Naissances;Naissances domiciliées en 2016;2016;;1
02017;Naissances;Naissances domiciliées en 2016;2016;;4
02018;Naissances;Naissances domiciliées en 2016;2016;;28
02019;Naissances;Naissances domiciliées en 2016;2016;;2
02020;Naissances;Naissances domiciliées en 2016;2016;;0
02021;Naissances;Naissances domiciliées en 2016;2016;;0
02022;Naissances;Naissances domiciliées en 2016;2016;;4
02023;Naissances;Naissances domiciliées en 2016;2016;;2
02024;Naissances;Naissances domiciliées en 2016;2016;;0
02025;Naissances;Naissances domiciliées en 2016;2016;;5
02027;Naissances;Naissances domiciliées en 2016;2016;;1
02028;Naissances;Naissances domiciliées en 2016;2016;;22
02029;Naissances;Naissances domiciliées en 2016;2016;;4
02030;Naissances;Naissances domiciliées en 2016;2016;;1
02031;Naissances;Naissances domiciliées en 2016;2016;;11
02032;Naissances;Naissances domiciliées en 2016;2016;;1
02033;Naissances;Naissances domiciliées en 2016;2016;;1
02034;Naissances;Naissances domiciliées en 2016;2016;;1
02035;Naissances;Naissances domiciliées en 2016;2016;;6
02036;Naissances;Naissances domiciliées en 2016;2016;;1
02037;Naissances;Naissances domiciliées en 2016;2016;;13
02038;Naissances;Naissances domiciliées en 2016;2016;;0
02039;Naissances;Naissances domiciliées en 2016;2016;;0
02040;Naissances;Naissances domiciliées en 2016;2016;;3
02041;Naissances;Naissances domiciliées en 2016;2016;;10
02042;Naissances;Naissances domiciliées en 2016;2016;;4
02043;Naissances;Naissances domiciliées en 2016;2016;;0
02044;Naissances;Naissances domiciliées en 2016;2016;;0
02046;Naissances;Naissances domiciliées en 2016;2016;;2
02047;Naissances;Naissances domiciliées en 2016;2016;;1
02048;Naissances;Naissances domiciliées en 2016;2016;;4
02049;Naissances;Naissances domiciliées en 2016;2016;;9
02050;Naissances;Naissances domiciliées en 2016;2016;;4
02051;Naissances;Naissances domiciliées en 2016;2016;;8
02052;Naissances;Naissances domiciliées en 2016;2016;;2
02053;Naissances;Naissances domiciliées en 2016;2016;;1
02054;Naissances;Naissances domiciliées en 2016;2016;;6
02055;Naissances;Naissances domiciliées en 2016;2016;;0
02056;Naissances;Naissances domiciliées en 2016;2016;;2
02057;Naissances;Naissances domiciliées en 2016;2016;;12
02058;Naissances;Naissances domiciliées en 2016;2016;;4
02059;Naissances;Naissances domiciliées en 2016;2016;;41
02060;Naissances;Naissances domiciliées en 2016;2016;;2
02061;Naissances;Naissances domiciliées en 2016;2016;;4
02062;Naissances;Naissances domiciliées en 2016;2016;;1
02063;Naissances;Naissances domiciliées en 2016;2016;;2
02064;Naissances;Naissances domiciliées en 2016;2016;;38
02065;Naissances;Naissances domiciliées en 2016;2016;;5
02066;Naissances;Naissances domiciliées en 2016;2016;;3
02067;Naissances;Naissances domiciliées en 2016;2016;;0
02068;Naissances;Naissances domiciliées en 2016;2016;;0
02069;Naissances;Naissances domiciliées en 2016;2016;;0
02070;Naissances;Naissances domiciliées en 2016;2016;;3
02071;Naissances;Naissances domiciliées en 2016;2016;;4
02072;Naissances;Naissances domiciliées en 2016;2016;;1
02073;Naissances;Naissances domiciliées en 2016;2016;;13
02074;Naissances;Naissances domiciliées en 2016;2016;;5
02075;Naissances;Naissances domiciliées en 2016;2016;;3
02076;Naissances;Naissances domiciliées en 2016;2016;;0
02077;Naissances;Naissances domiciliées en 2016;2016;;4
02078;Naissances;Naissances domiciliées en 2016;2016;;3
02079;Naissances;Naissances domiciliées en 2016;2016;;0
02080;Naissances;Naissances domiciliées en 2016;2016;;1
02081;Naissances;Naissances domiciliées en 2016;2016;;4
02082;Naissances;Naissances domiciliées en 2016;2016;;1
02083;Naissances;Naissances domiciliées en 2016;2016;;7
02084;Naissances;Naissances domiciliées en 2016;2016;;2
02085;Naissances;Naissances domiciliées en 2016;2016;;8
02086;Naissances;Naissances domiciliées en 2016;2016;;9
02087;Naissances;Naissances domiciliées en 2016;2016;;2
02088;Naissances;Naissances domiciliées en 2016;2016;;0
02089;Naissances;Naissances domiciliées en 2016;2016;;7
02090;Naissances;Naissances domiciliées en 2016;2016;;2
02091;Naissances;Naissances domiciliées en 2016;2016;;2
02093;Naissances;Naissances domiciliées en 2016;2016;;17
02094;Naissances;Naissances domiciliées en 2016;2016;;4
02095;Naissances;Naissances domiciliées en 2016;2016;;70
02096;Naissances;Naissances domiciliées en 2016;2016;;0
02097;Naissances;Naissances domiciliées en 2016;2016;;3
02098;Naissances;Naissances domiciliées en 2016;2016;;2
02099;Naissances;Naissances domiciliées en 2016;2016;;2
02100;Naissances;Naissances domiciliées en 2016;2016;;6
02101;Naissances;Naissances domiciliées en 2016;2016;;2
02102;Naissances;Naissances domiciliées en 2016;2016;;0
02103;Naissances;Naissances domiciliées en 2016;2016;;15
02104;Naissances;Naissances domiciliées en 2016;2016;;0
02105;Naissances;Naissances domiciliées en 2016;2016;;3
02106;Naissances;Naissances domiciliées en 2016;2016;;15
